showname,url
ma boy,https://mydramalist.com/5104-ma-boy
falling for innocence,https://mydramalist.com/12360-falling-for-innocence
mad dog,https://mydramalist.com/24187-mad-dog
1 night 2 days,
to the beautiful you,https://mydramalist.com/2278-to-the-beautiful-you
vampire prosecutor 2,https://mydramalist.com/4920-vampire-prosecutor-2
joseon x-files,https://mydramalist.com/730-secret-investigation-record
beautiful gong shim,https://mydramalist.com/17219-beautiful-gong-shim
fashion king,https://mydramalist.com/3228-fashion-king
mysterious il-seung,https://mydramalist.com/24774-doubtful-victory
the moon that embraces the sun,https://mydramalist.com/3079-the-moon-that-embraces-the-sun
smile,https://mydramalist.com/138-smile-you
will it snow for christmas,https://mydramalist.com/200-will-it-snow-for-christmas
oh my geum-bi,https://mydramalist.com/20804-my-fair-lady
legend of the blue sea,https://mydramalist.com/18816-the-legend-of-the-blue-sea
bad guy,https://mydramalist.com/76-bad-guy-2010
haeundae lovers,https://mydramalist.com/4633-haeundae-lovers
i�m not a robot,https://mydramalist.com/24351-im-not-a-robot
mixed-up investigative agency,https://mydramalist.com/902-evasive-inquiry-agency
pretty man,https://mydramalist.com/7352-bel-ami
chicago typewriter,https://mydramalist.com/22403-chicago-typewriter
birth of a beauty,https://mydramalist.com/11177-birth-of-a-beauty
she was pretty,https://mydramalist.com/15055-she-was-pretty
entourage,https://mydramalist.com/16675-entourage
"three dads, one mom",https://mydramalist.com/301-three-dads-one-mom
healer,https://mydramalist.com/10814-healer
superdaddy yeol,https://mydramalist.com/13127-super-daddy-yeol
the time i�ve loved you,https://mydramalist.com/13482-the-time-we-were-not-in-love
miss ripley,https://mydramalist.com/1564-miss-ripley
a love to kill,https://mydramalist.com/152-a-love-to-kill
sword and flower,https://mydramalist.com/6989-sword-and-flower
athena,https://mydramalist.com/172-athena-goddess-of-war
falsify,https://mydramalist.com/23217-falsify
queen in-hyun�s man,https://mydramalist.com/3985-queen-in-hyuns-man
seven day queen,https://mydramalist.com/22875-queen-for-seven-days
personal taste,https://mydramalist.com/19-personal-taste
hero,https://mydramalist.com/196-hero-2009
girl who sees smells,https://mydramalist.com/13103-the-girl-who-sees-scents
punch,https://mydramalist.com/11642-punch-2014
secret garden,https://mydramalist.com/8-secret-garden-2010
i need romance 2012,https://mydramalist.com/3813-i-need-romance-2
nothing to lose,https://mydramalist.com/25676-nothing-to-lose
legend,
love rain,https://mydramalist.com/3057-love-rain
woman of dignity,https://mydramalist.com/19160-woman-of-dignity
goodbye mr. black,https://mydramalist.com/15142-goodbye-mr.-black
tomorrow with you,https://mydramalist.com/18882-tomorrow-with-you
twenty again,https://mydramalist.com/14827-twenty-again
hidden identity,https://mydramalist.com/13583-hidden-identity
fantastic,https://mydramalist.com/19468-fantastic
three musketeers,https://mydramalist.com/10248-the-three-musketeers
shark,https://mydramalist.com/6669-dont-look-back-the-legend-of-orpheus
pasta,https://mydramalist.com/46-pasta
manny,https://mydramalist.com/1444-manny
iris 2,https://mydramalist.com/1796-iris-2
who are you�school 2015,https://mydramalist.com/13386-who-are-you-school-2015
temperature of love,https://mydramalist.com/23390-temperature-of-love
oh my venus,https://mydramalist.com/15062-oh-my-venus
trot lovers,https://mydramalist.com/9850-lovers-of-music
the man living in our house,https://mydramalist.com/18978-sweet-stranger-and-me
running man,https://mydramalist.com/25565-running-man
solomon�s perjury,https://mydramalist.com/20464-solomons-perjury
defendant,https://mydramalist.com/19684-defendant
the virus,https://mydramalist.com/6199-the-virus
me too flower,
lucky romance,https://mydramalist.com/17213-lucky-romance
white christmas,https://mydramalist.com/1460-drama-special-series-season-1-white-christmas
reunited worlds,https://mydramalist.com/23412-reunited-worlds
faith,https://mydramalist.com/3994-faith
yong-pal,https://mydramalist.com/14655-yong-pal
individualist ji-young,https://mydramalist.com/23442-the-happy-loner
hanbando / korean peninsula,https://mydramalist.com/3301-korean-peninsula
masked prosecutor,https://mydramalist.com/13676-the-man-in-the-mask
suspicious housekeeper,https://mydramalist.com/7827-the-suspicious-housekeeper
the sons of sol pharmacy,https://mydramalist.com/1224-my-too-perfect-sons
age of youth,https://mydramalist.com/18896-age-of-youth
tunnel,https://mydramalist.com/21687-tunnel
tree with deep roots,https://mydramalist.com/2785-deep-rooted-tree
i need romance,https://mydramalist.com/2411-i-need-romance
1% of anything,https://mydramalist.com/18774-something-about-1-percent
nine,https://mydramalist.com/6081-nine-nine-times-time-travel
hwarang,https://mydramalist.com/15931-hwarang-the-poet-warrior-youth
